pop,lon,lat
GWD,-16.6,13.466667
CLM,-74.066667,4.583333
BEB,90.35,23.7
PEL,-77.028333,-12.041667
LWK,36.8,-1.266667
MSL,-13.23445,8.48445
GBR,-1.891667,52.833333
IBS,-3.716667,40.383333
ASW,-97.53333,35.48167
FIN,24.935,60.168333
TSI,12.0,43.066667
KHV,106.681667,10.776667
CEU,-111.093731,40.32098
YRI,3.916667,7.396667
CHB,116.391667,39.913333
STU,79.9,6.9
CHS,113.266667,23.133333
ESN,7.483333,9.066667
ACB,-59.61667,13.1
GIH,72.683333,23.216667
PJL,74.341667,31.55
MXL,-99.133333,19.433333
ITU,78.476,17.366
CDX,100.8,22.0
JPT,139.683333,35.683333
PUR,-66.1,18.45
